"imdb_id" "country"
"1" "tt0013442" "Germany"
"2" "tt0022286" "USA"
"3" "tt0024216" "USA"
"4" "tt0026138" "USA"
"5" "tt0032138" "USA"
"6" "tt0034583" "USA"
"7" "tt0037120" "USA"
"8" "tt0037913" "USA"
"9" "tt0038355" "USA"
"10" "tt0040068" "USA"
"11" "tt0040522" "Italy"
"12" "tt0040613" "USA"
"13" "tt0040634" "Yugoslavia"
"14" "tt0041386" "USA"
"15" "tt0042546" "USA"
"16" "tt0044518" "France"
"17" "tt0045464" "USA"
"18" "tt0046250" "USA"
"19" "tt0046876" "USA"
"20" "tt0047573" "USA"
"21" "tt0047577" "USA"
"22" "tt0048215" "USA"
"23" "tt0048554" "USA"
"24" "tt0048980" "France"
"25" "tt0049223" "USA"
"26" "tt0049408" "USA"
"27" "tt0050084" "USA"
"28" "tt0050539" "USA"
"29" "tt0050908" "USA"
"30" "tt0051036" "USA"
"31" "tt0051337" "UK, USA"
"32" "tt0051554" "UK"
"33" "tt0051818" "USA"
"34" "tt0052104" "USA"
"35" "tt0052646" "USA"
"36" "tt0053241" "Mexico"
"37" "tt0053291" "USA"
"38" "tt0053363" "USA"
"39" "tt0053611" "USA"
"40" "tt0054135" "USA"
"41" "tt0054215" "USA"
"42" "tt0054387" "USA"
"43" "tt0054692" "USA"
"44" "tt0055198" "Japan"
"45" "tt0056142" "Japan, USA"
"46" "tt0056875" "USA"
"47" "tt0056923" "USA"
"48" "tt0057197" "UK, USA"
"49" "tt0057465" "USA"
"50" "tt0057603" "Italy, France, USA"
"51" "tt0057693" "USA"
"52" "tt0058150" "UK"
"53" "tt0058182" "UK"
"54" "tt0058385" "USA"
"55" "tt0058414" "USA"
"56" "tt0058548" "USA"
"57" "tt0058725" "USA"
"58" "tt0059079" "Hong Kong"
"59" "tt0059742" "USA"
"60" "tt0059800" "UK"
"61" "tt0060277" "Japan"
"62" "tt0061184" "USA"
"63" "tt0061695" "Japan"
"64" "tt0062622" "UK, USA"
"65" "tt0062711" "France, Italy"
"66" "tt0062803" "UK"
"67" "tt0063090" "Mexico"
"68" "tt0063350" "USA"
"69" "tt0064757" "UK"
"70" "tt0065214" "USA"
"71" "tt0065856" "USA"
"72" "tt0065944" "USA"
"73" "tt0066256" "USA"
"74" "tt0066518" "UK, USA"
"75" "tt0066603" "Japan"
"76" "tt0066740" "UK, USA"
"77" "tt0066921" "UK, USA"
"78" "tt0067185" "USA"
"79" "tt0067992" "USA"
"80" "tt0068284" "USA"
"81" "tt0068327" "USA"
"82" "tt0068619" "USA"
"83" "tt0068646" "USA"
"84" "tt0069005" "USA"
"85" "tt0069089" "USA"
"86" "tt0070016" "USA"
"87" "tt0070034" "Hong Kong, USA"
"88" "tt0070047" "USA"
"89" "tt0070800" "Hong Kong"
"90" "tt0071222" "Canada, USA"
"91" "tt0071230" "USA"
"92" "tt0071517" "USA"
"93" "tt0071562" "USA"
"94" "tt0071615" "Mexico, USA"
"95" "tt0071695" "Japan"
"96" "tt0071853" "UK"
"97" "tt0071994" "USA"
"98" "tt0072271" "USA"
"99" "tt0072431" "USA"
"100" "tt0072856" "USA"
"101" "tt0072869" "USA"
"102" "tt0072913" "Taiwan, Hong Kong"
"103" "tt0072979" "USA"
"104" "tt0073168" "Hong Kong"
"105" "tt0073195" "USA"
"106" "tt0073629" "UK, USA"
"107" "tt0076162" "Japan"
"108" "tt0076271" "USA"
"109" "tt0076786" "Italy"
"110" "tt0077559" "Hong Kong"
"111" "tt0077631" "USA"
"112" "tt0077681" "USA"
"113" "tt0078446" "USA"
"114" "tt0078480" "UK"
"115" "tt0078504" "USA"
"116" "tt0078748" "UK, USA"
"117" "tt0078902" "USA"
"118" "tt0079432" "Hong Kong"
"119" "tt0079588" "UK, USA"
"120" "tt0079609" "Hong Kong"
"121" "tt0079766" "UK"
"122" "tt0079813" "USA"
"123" "tt0079946" "USA"
"124" "tt0080002" "Hong Kong"
"125" "tt0080057" "Italy"
"126" "tt0080120" "USA"
"127" "tt0080339" "USA"
"128" "tt0080380" "USA, West Germany"
"129" "tt0080455" "USA"
"130" "tt0080745" "UK, USA"
"131" "tt0081184" "USA"
"132" "tt0081353" "USA"
"133" "tt0081505" "UK, USA"
"134" "tt0082010" "UK"
"135" "tt0082186" "UK, USA"
"136" "tt0082198" "USA"
"137" "tt0082340" "UK, USA"
