"imdb_id" "name" "gross" "date" "theater" "time" "num_of_shows" "ticket_price" "num_of_attendees" "day" "avg_attendence"
"1" "tt0063350" "WHITE ZOMBIE (Restored) and NIGHT OF THE LIVING DEAD (Thrillville Theater) Double Feature! - w/ guest host Lord Blood-Rah (<a target=”_blank” href=http://brownpapertickets.com/event/466246>Purchase Tickets Online</a>)" 350 2013-10-06 1 "17:00" 1 12 29 "Sunday" 29
"2" "tt0063350" "BIRTH OF THE LIVING DEAD/NIGHT OF THE LIVING DEAD DOUBLE FEATURE! (Grindhouse Night)(<a target=”_blank” href=http://brownpapertickets.comevent/497881>Purchase Tickets Online</a>)" 258 2013-10-25 1 "21:00" 1 12 22 "Friday" 22
"3" "tt0063350" "BIRTH OF THE LIVING DEAD/NIGHT OF THE LIVING DEAD (DOUBLY DEAD)(<a target=”_blank” href=http://www.brownpapertickets.com/event/488591>Purchase Tickets Online</a>)" 86 2013-10-31 2 "18:30" 1 12 7 "Thursday" 7
"4" "tt0070047" "THE EXORCIST W/ THE DEVIL'S NIGHTMARE (Devil's Double)(<a target=”_blank” href=http://brownpapertickets.com/event/488642>Purchase Tickets Online</a>)" 267 2013-10-31 1 "19:00" 1 12 22 "Thursday" 22
"5" "tt0266308" "BATTLE ROYALE (<a target=\"_blank\" href=\"http://www.tugg.com/events/3874\">Purchase Tickets Online</a>)" 361 2013-05-16 2 "19:00" 1 12 30 "Thursday" 30
"6" "tt2042568" "INSIDE LLEWYN DAVIS" 396 2014-02-12 2 "21:30" 1 12 33 "Wednesday" 33
"7" "tt2520398" "ASSAULTED: CIVIL RIGHTS UNDER FIRE (<a target=\"_blank\" href=\"http://www.tugg.com/events/4674\">Purchase Tickets Online</a>)" 648 2013-07-10 1 "18:30" 1 12 54 "Wednesday" 54
"8" "tt2639344" "LOVE IS STRANGE" 228 2014-10-22 2 "21:30" 1 12 19 "Wednesday" 19
"9" "" "UNSUNG: TOO SHORT (<a target=”_blank” href=http://brownpapertickets.com/event/558947>Purchase Tickets Online</a>)" 642 2014-01-21 1 "21:00" 2 10 64 "Tuesday" 32
"10" "tt0013442" "NOSFERATU (silent film), with live musical accompaniment by the 29th Street Swingtet, co-presented by film curator Jeff M. Giordano (<a target=”_blank” href=http://brownpapertickets.com/event/875343>Purchase Tickets Online</a>)" 432 2014-11-02 2 "15:00" 1 10 43 "Sunday" 43
"11" "tt0013442" "NOSFERATU, featuring live accompaniment by Invincible Czars (<a target=”_blank” href=http://www.brownpapertickets.com/event/2518370>Purchase Tickets Online</a>)" 1824 2016-03-17 2 "21:00" 2 10 182 "Thursday" 91
"12" "tt0058414" "NOTHING BUT A MAN, presented by Broaklyn Film and Theater Company(<a target=”_blank” href=http://brownpapertickets.com/event/512514>Purchase Tickets Online</a>)" 137 2013-12-03 1 "18:30" 1 10 14 "Tuesday" 14
"13" "tt0061695" "GAMERA VS. GYOAS (Thrillville Theater) (<a target=”_blank” href=http://brownpapertickets.com/event/543161>Purchase Tickets Online</a>)" 320 2014-01-23 2 "21:15" 1 10 32 "Thursday" 32
"14" "tt0066740" "THE ABOMINABLE DR. PHIBES  (Thrillville Theater) (<a target=”_blank” href=http://brownpapertickets.com/event/451849>Purchase Tickets Online</a>)" 224 2013-09-15 2 "18:00" 1 10 22 "Sunday" 22
"15" "tt0072979" "FEMALE TROUBLE (The Bechdel Test Movie Night) (<a target=”_blank” href=http://brownpapertickets.com/event/2465106>Purchase Tickets Online</a>)" 1400 2015-12-13 1 "17:00" 1 10 140 "Sunday" 140
"16" "tt0073629" "ROCKY HORROR PICTURE SHOW (<a target=”_blank” href=http://brownpapertickets.com/event/2490721>Purchase Tickets Online</a>)" 920 2016-03-04 1 "22:30" 1 10 92 "Friday" 92
"17" "tt0081505" "ROOM 237 / THE SHINING Double Feature (<a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/378140\">Purchase Tickets Online</a>)" 593 2013-05-10 2 "19:30" 1 10 59 "Friday" 59
"18" "tt0085701" "THE HUNGER, featuring a post-film discussion (Bechdel Test Movie Night) (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/406?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 1200 2016-03-13 2 "17:00" 1 10 120 "Sunday" 120
"19" "tt0087332" "GHOSTBUSTERS, co-presented and pre-show by Chris Noessel of scifiinterfaces.com (<a target=”_blank” href=http://brownpapertickets.com/event/2414095>Purchase Tickets Online</a>)" 475 2015-10-29 1 "21:00" 1 10 48 "Thursday" 48
"20" "tt0090605" "ALIENS (Bechdel Test Movie Night) (<a target=”_blank” href=http://brownpapertickets.com/event/2181629>Purchase Tickets Online</a>)" 1266 2015-10-11 2 "17:00" 1 10 127 "Sunday" 127
"21" "tt0092086" "THREE AMIGOS Quote-Along with Barely Legal (<a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/383463\">Purchase Tickets Online</a>)" 680 2013-05-25 2 "22:30" 1 10 68 "Saturday" 68
"22" "tt0095270" "<a href=\"http://youtu.be/gYGpZZy4A_M\">HAIRSPRAY</a> Sing-Along with The Barely Legal Crowd Pleasers (<a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/397763\">Purchase Tickets Online</a>)" 160 2013-06-29 2 "22:30" 1 10 16 "Saturday" 16
"23" "tt0103074" "THELMA AND LOUISE, featuring a post-film discussion with Cheryl Dunye (The Bechdel Test Movie Night) (<a target=”_blank” href=http://brownpapertickets.com/event/2181591>Purchase Tickets Online</a>)" 900 2015-09-13 2 "17:00" 1 10 90 "Sunday" 90
"24" "tt0109504" "CROOKLYN (Presented by HEAL: Pilates) (<a target=”_blank” href=http://www.brownpapertickets.com/event/2113814>Purchase Tickets Online</a>)" 27 2015-08-23 2 "12:30" 1 10 3 "Sunday" 3
"25" "tt0116908" "THE LONG KISS GOODNIGHT (The Bechdel Test Movie Night) (<a target=”_blank” href=http://www.brownpapertickets.com/event/2467556>Purchase Tickets Online</a>)" 420 2016-01-10 1 "17:00" 1 10 42 "Sunday" 42
"26" "tt0116922" "LOST HIGHWAY, featuring Q & A with screenwriter Barry Gifford" 340 2013-12-05 2 "21:15" 1 10 34 "Thursday" 34
"27" "tt0119116" "THE FIFTH ELEMENT, with pre-film intro and talk by Chris Noessel of Make It So (<a target=”_blank” href=http://brownpapertickets.com/event/589424>Purchase Tickets Online</a>)" 600 2014-03-18 2 "21:00" 1 10 60 "Tuesday" 60
"28" "tt0152468" "SLAMNATION, co-presented by The National Poetry Slam and featuring a live poetry performance and a short film (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/764493>Purchase Tickets Online</a>)" 270 2014-07-29 2 "19:00" 1 10 27 "Tuesday" 27
"29" "tt0203009" "MOULIN ROUGE with the Barely Legal Crowd Pleasers (<a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/397745\">Purchase Tickets Online</a>)" 280 2013-06-15 2 "22:30" 1 10 28 "Saturday" 28
"30" "tt0282948" "THE SECRETS OF SILICON VALLEY, co-presented by The Berkeley FILM Foundation and featuring a post-film Q&A with directors Alan Snitow and Deborah Kaufman (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/2221648>Purchase Tickets Online</a>)" 389 2015-10-06 2 "19:00" 1 10 39 "Tuesday" 39
"31" "tt0412886" "JUVIES, co-presented by UnCommon Law featuring a post-film discussion (Doc Night) (<a target=”_blank” href=http://www.brownpapertickets.com/event/2486435>Purchase Tickets Online</a>)" 1198 2016-02-02 1 "19:00" 1 10 120 "Tuesday" 120
"32" "tt0424359" "A POEM IS A NAKED PERSON (<a target=”_blank” href=http://www.brownpapertickets.com/event/2149674>Purchase Tickets Online</a>)" 295 2015-08-18 2 "18:50" 1 10 30 "Tuesday" 30
"33" "tt0790636" "DALLAS BUYERS CLUB" 246 2014-03-19 2 "21:30" 1 10 25 "Wednesday" 25
"34" "tt0816692" "INTERSTELLAR" 624 2015-01-07 1 "18:15" 1 10 62 "Wednesday" 62
"35" "tt1152399" "GHOST BIRD, co-presented by The Berkeley FILM Foundation and featuring a post-film Q&A with director Scott Crocker (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/1447257>Purchase Tickets Online</a>)" 470 2015-05-12 2 "19:00" 1 10 47 "Tuesday" 47
"36" "tt1229340" "ANCHORMAN 2" 464 2014-01-22 1 "21:30" 1 10 46 "Wednesday" 46
"37" "tt1326956" "OUR SUMMER IN TEHRAN, co-presented by The Berkeley FILM Foundation and featuring a post-film Q&A with director Justine Shapiro and editor Sabereh Kashi (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/1883191>Purchase Tickets Online</a>)" 701 2015-08-04 2 "19:00" 1 10 70 "Tuesday" 70
"38" "tt1332028" "<a href=\"www.trashfilmorgy.com\">Trash Film Orgy</a> presents... MONSTER FROM BIKINI BEACH (<a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/386656\">Purchase Tickets Online</a>)" 200 2013-05-24 2 "22:30" 1 10 20 "Friday" 20
