"","imdb_id","num_of_shows","attendees_per_show","avg_nth_day","name","budget","genres","tmdb_popularity","release_date","revenue","runtime","languages","tmdb_rating","tmdb_votes","directors","writers","keywords","awards","metascore","imdb_rating","imdb_votes","tomato_critic_rating","tomato_user_rating","tomato_user_votes","tomato_critic_votes","tomato_fresh_reviews","tomato_rotten_reviews","tomato_user_meter","tomato_critic_meter","actors","award_wins","award_nominations"
"1","tt0369610",3,49,4.33333333333333,"JURASSIC WORLD",150000000,"Action,Adventure,Science Fiction,Thriller",13.649929,2015-06-09,1513528810,124,"English",6.6,4726,"Colin Trevorrow","","monster,dna,tyrannosaurus rex,velociraptor,island,sequel,suspense,disaster,escape,dinosaur,amusement park,animal attack,theme park,jurassic park,3d,animal horror","4 wins & 53 nominations.",59,7,"408,124",6.7,3.9,222015,295,211,84,78,72,"Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Omar Sy,Nick Robinson,Ty Simpkins,BD Wong,Jake Johnson,Judy Greer,Lauren Lapkus,Brian Tee,Andy Buckley,Katie McGrath,Courtney J. Clark,Jimmy Fallon,Kelly Washington,Yvonne Angulo,Aas Mohammad Ali Abbasi,Tiffany Forest",4,53
"2","tt0443272",5,46.4583333333333,4,"LINCOLN",65000000,"Drama,War",1.11025,2012-11-09,275293450,149,"English",6.6,900,"Steven Spielberg","","u.s. president,speech,death of a child,battlefield,title spoken by character,mental illness,family conflict,mourning,cultural conflict,based on true events,battle of gettysburg,team conflict,mary todd lincoln,secession,presidential cabinet,reference to ulysses s. grant,gettysburg address,conflagration,ethical dilemma,emancipation,abraham lincoln","Won 2 Oscars. Another 107 wins & 235 nominations.",86,7.4,"196,153",8,4,244590,255,229,26,81,90,"Daniel Day-Lewis,Sally Field,David Strathairn,Joseph Gordon-Levitt,James Spader,Hal Holbrook,Tommy Lee Jones,Lee Pace,Jackie Earle Haley,Jared Harris,Bruce McGill,Walton Goggins,Tim Blake Nelson,Boris McGiver,Adam Driver,John Hawkes,Joseph Cross,Peter McRobbie,Gulliver McGrath,Gloria Reuben,Jeremy Strong,Michael Stuhlbarg,David Costabile,Stephen Spinella,Walton Goggins,David Warshofsky,Colman Domingo,Lukas Haas,Dane DeHaan,Bill Camp,Elizabeth Marvel,Julie White,Byron Jennings,Richard Topol,Walter Smith,Dakin Matthews,Wayne Duvall,Bill Raymond,Drew Sease,John Hutton,Chase Edmunds,Gregory Itzin,John Lescault,Mike Shiflett,Gannon McHale,Ken Lambert,Thomas K. Belgrey,Mary Dunleavy,Armistead Wellford,Ted Johnson,Don Henderson Baker,Raynor Scheine,Todd Fletcher,Charles Kinney,Joseph Carlson,Michael Goodwin,Edward McDonald,Jim Batchelder,Gregory Hosaflook,Joe Kerkes,William Kaffenberger,Larry Van Hoose,C. Brandon Marshall,Christopher Boyer,S. Epatha Merkerson,Robert Shepherd,Grainger Hines,Skye Dennis",109,235
"3","tt0453562",1,47,1,"42",40000000,"Drama",0.669873,2013-04-12,95020213,128,"",6.7,617,"Brian Helgeland","","baseball,sport,brooklyn dodgers,number as title","3 wins & 17 nominations.",62,7.5,"65,868",6.8,4.1,119027,178,140,38,86,79,"Chadwick Boseman,T.R. Knight,Harrison Ford,Nicole Beharie,Christopher Meloni,John C. McGinley,Ryan Merriman,Jud Tylor,Brett Cullen,Brad Beyer,Lucas Black,Andre Holland,Alan Tudyk,Hamish Linklater,James Pickens Jr.,Gino Anthony Pesi,Kelley Jakle",3,17
"4","tt0454876",15,53.6770833333333,7.25,"LIFE OF PI",120000000,"Adventure,Drama,Action",1.79624,2012-11-20,609016565,127,"English,Français,हिन्दी,日本語,தமிழ்",7,4001,"Ang Lee","","ocean,shipwreck,hindu,tiger,faith,zookeeper,teenage boy,cargo ship,lifeboat,injured animal","Won 4 Oscars. Another 76 wins & 124 nominations.",79,8,"433,607",7.9,4.1,167765,232,201,31,84,87,"Suraj Sharma,Irrfan Khan,Ayush Tandon,Gautam Belur,Adil Hussain,Tabu,Rafe Spall,Gérard Depardieu,James Saito,Jun Naito,Andrea Di Stefano,Vibish Sivakumar,Mohd Abbas Khaleeli,Shravanthi Sainath,Elie Alouf,Padmini Ramachandran,T.M. Karthik,Amarendran Ramanan,Hari Mina Bala,Wang Bo-Chieh,Ayaan Khan",80,124
"5","tt0470752",14,51.7232142857143,25.9285714285714,"EX MACHINA",15000000,"Drama,Science Fiction",3.83876,2015-01-21,36869414,108,"English",7.6,2298,"Alex Garland","Alex Garland","dancing,artificial intelligence,helicopter,distrust,isolation,self-awareness,nudity,future,seclusion,friendship,deception,laboratory,escape,robot,power outage,surveillance camera,consciousness,existentialism,lockdown,drunkenness,research facility,robot human relationship,turing test","Won 1 Oscar. Another 61 wins & 133 nominations.",78,7.7,"282,661",8.1,4.1,67843,231,214,17,86,93,"Domhnall Gleeson,Alicia Vikander,Sonoya Mizuno,Oscar Isaac,Corey Johnson,Claire Selby,Symara A. Templeman,Gana Bayarsaikhan,Tiffany Pisani,Elina Alminas,Chelsea Li",62,133
"6","tt0770828",4,49,3.33333333333333,"MAN OF STEEL",225000000,"Action,Adventure,Fantasy,Science Fiction",3.30783,2013-06-12,662845518,143,"English",6.5,4388,"Zack Snyder","","saving the world,dc comics,superman,superhero,based on comic,superhuman,based on comic book,alien invasion,reboot","7 wins & 42 nominations.",55,7.2,"539,282",6.2,3.9,442143,300,166,134,75,55,"Henry Cavill,Amy Adams,Michael Shannon,Diane Lane,Russell Crowe,Antje Traue,Kevin Costner,Christopher Meloni,Laurence Fishburne,Jadin Gould,Tahmoh Penikett,Ayelet Zurer,Richard Schiff,Dylan Sprayberry,Michael Kelly,Carla Gugino,Richard Cetrone,Mackenzie Gray,Julian Richings,Mary Black,Samantha Jo,Rebecca Buller,Christina Wren,David Lewis,Doug Abrahams,Brad Kelly,Alessandro Juliani,Jack Foley,Robert Gerdisch,Harry Lennix,Jacqueline Scislowski,Raj Lal",7,42
"7","tt0787474",4,52.9375,8,"BOXTROLLS",60000000,"Fantasy,Adventure,Animation,Family,Comedy",1.346341,2014-09-10,108255770,97,"English",6.6,436,"Graham Annable,Anthony Stacchi","","based on novel,fantasy,stop motion animation,animation","Nominated for 1 Oscar. Another 8 wins & 58 nominations.",61,6.8,"40,210",7,3.5,46787,152,114,38,63,75,"Isaac Hempstead Wright,Ben Kingsley,Elle Fanning,Simon Pegg,Toni Collette,Jared Harris,Nick Frost,Tracy Morgan,Richard Ayoade,Laraine Newman,Dee Bradley Baker,Steve Blum,Nika Futterman,Pat Fraley,Fred Tatasciore,Max Mitchell,Maurice LaMarche,James Urbaniak,Brian George,Lori Tritel,Reckless Jack,Tom Kenny,Sam Lavagnino,Julian Stone",8,59
"8","tt0790636",6,55.875,30.6666666666667,"DALLAS BUYERS CLUB",5000000,"Drama,History",1.618622,2013-09-07,55198285,117,"English,日本語",7.8,1537,"Jean-Marc Vallée","","women,aids,biography,based on true story,hiv,drug,1980s","Won 3 Oscars. Another 79 wins & 78 nominations.",84,8,"321,295",7.8,4.2,90897,235,220,15,91,94,"Matthew McConaughey,Jennifer Garner,Jared Leto,Denis O'Hare,Steve Zahn,Michael O'Neill,Dallas Roberts,Griffin Dunne,Kevin Rankin,Donna DuPlantier,Deneen Tyler,J.D. Evermore,Ian Casselberry,Jane McNeill,Juliet Reeves,Douglas M. Griffin",82,78
"9","tt0810819",2,46.875,4.5,"THE DANISH GIRL",15000000,"Drama",1.871006,2015-11-27,64191523,120,"English,Français,Deutsch",7.1,610,"Tom Hooper","","paris,denmark,copenhagen,artist,art,transsexual,surgery,lgbt","Won 1 Oscar. Another 26 wins & 69 nominations.",66,7,"78,908",6.6,3.7,25678,202,140,62,73,69,"Alicia Vikander,Eddie Redmayne,Tusse Silberg,Adrian Schiller,Amber Heard,Emerald Fennell,Henry Pettigrew,Claus Bue,Peter Krag,Angela Curran,Pixie,Richard Dixon,Ben Whishaw,Pip Torrens,Paul Bigley,Nancy Crane,Nicola Sloane,Sonya Cullingford,Matthias Schoenaerts,Clare Fettarappa,Jake Graf,Victoria Emslie,Raphael Acloque,Alexander Devrient,Nicholas Woodeson,Philip Arditti,Miltos Yerolemou,Sebastian Koch,Cosima Shaw,Sophie Kennedy Clark,Rebecca Root,Issy van Randwyck,Aisha Fabienne Ross,Holly Weston,Eleanor Hafner,Maya Lindh,Rebecca Clay,Erich Redman",27,69
"10","tt0816442",4,55.75,6,"THE BOOK THIEF",0,"Drama",1.543041,2013-11-08,76586316,131,"English,Deutsch",7.3,698,"Brian Percival","Michael Petroni","world war ii,book,nazi germany,jewish","Nominated for 1 Oscar. Another 7 wins & 14 nominations.",53,7.6,"97,881",5.7,3.8,49768,135,62,73,73,46,"Roger Allam,Sophie Nélisse,Heike Makatsch,Julian Lehmann,Gotthard Lange,Rainer Reiners,Kirsten Block,Geoffrey Rush,Emily Watson,Nico Liersch,Ludger Bökelmann,Paul Schalper,Nozomi Linus Kaisar,Oliver Stokowski,Robert Beyer,Hildegard Schroedter,Levin Liam,Ben Schnetzer,Sandra Nedeleff,Rafael Gareisen,Carl Heinz Choynski,Rainer Bock,Barbara Auer,Mike Maas,Sebastian Hülk,Matthias Matschke,Beata Lehmann,Laina Schwarz,Marie Burchard,Georg Tryphon,Joachim Paul Assböck,Martin Ontrop,Jan Andres,Stephanie Stremler,Carina Wiese",7,15
