"","imdb_id","num_of_shows","attendees_per_show","avg_nth_day","name","budget","genres","tmdb_popularity","release_date","revenue","runtime","languages","tmdb_rating","tmdb_votes","directors","writers","keywords","awards","metascore","imdb_rating","imdb_votes","tomato_critic_rating","tomato_user_rating","tomato_user_votes","tomato_critic_votes","tomato_fresh_reviews","tomato_rotten_reviews","tomato_user_meter","tomato_critic_meter","actors","award_wins","award_nominations"
"1","tt0454876",2,92,15,"LIFE OF PI",120000000,"Adventure,Drama,Action",1.79624,2012-11-20,609016565,127,"English,Français,हिन्दी,日本語,தமிழ்",7,4001,"Ang Lee","","ocean,shipwreck,hindu,tiger,faith,zookeeper,teenage boy,cargo ship,lifeboat,injured animal","Won 4 Oscars. Another 76 wins & 124 nominations.",79,8,"433,607",7.9,4.1,167765,232,201,31,84,87,"Suraj Sharma,Irrfan Khan,Ayush Tandon,Gautam Belur,Adil Hussain,Tabu,Rafe Spall,Gérard Depardieu,James Saito,Jun Naito,Andrea Di Stefano,Vibish Sivakumar,Mohd Abbas Khaleeli,Shravanthi Sainath,Elie Alouf,Padmini Ramachandran,T.M. Karthik,Amarendran Ramanan,Hari Mina Bala,Wang Bo-Chieh,Ayaan Khan",80,124
"2","tt0470752",6,84.5833333333333,15.5,"EX MACHINA",15000000,"Drama,Science Fiction",3.83876,2015-01-21,36869414,108,"English",7.6,2298,"Alex Garland","Alex Garland","dancing,artificial intelligence,helicopter,distrust,isolation,self-awareness,nudity,future,seclusion,friendship,deception,laboratory,escape,robot,power outage,surveillance camera,consciousness,existentialism,lockdown,drunkenness,research facility,robot human relationship,turing test","Won 1 Oscar. Another 61 wins & 133 nominations.",78,7.7,"282,661",8.1,4.1,67843,231,214,17,86,93,"Domhnall Gleeson,Alicia Vikander,Sonoya Mizuno,Oscar Isaac,Corey Johnson,Claire Selby,Symara A. Templeman,Gana Bayarsaikhan,Tiffany Pisani,Elina Alminas,Chelsea Li",62,133
"3","tt0770828",1,79,4,"MAN OF STEEL",225000000,"Action,Adventure,Fantasy,Science Fiction",3.30783,2013-06-12,662845518,143,"English",6.5,4388,"Zack Snyder","","saving the world,dc comics,superman,superhero,based on comic,superhuman,based on comic book,alien invasion,reboot","7 wins & 42 nominations.",55,7.2,"539,282",6.2,3.9,442143,300,166,134,75,55,"Henry Cavill,Amy Adams,Michael Shannon,Diane Lane,Russell Crowe,Antje Traue,Kevin Costner,Christopher Meloni,Laurence Fishburne,Jadin Gould,Tahmoh Penikett,Ayelet Zurer,Richard Schiff,Dylan Sprayberry,Michael Kelly,Carla Gugino,Richard Cetrone,Mackenzie Gray,Julian Richings,Mary Black,Samantha Jo,Rebecca Buller,Christina Wren,David Lewis,Doug Abrahams,Brad Kelly,Alessandro Juliani,Jack Foley,Robert Gerdisch,Harry Lennix,Jacqueline Scislowski,Raj Lal",7,42
"4","tt0787474",3,80.03125,1.5,"BOXTROLLS",60000000,"Fantasy,Adventure,Animation,Family,Comedy",1.346341,2014-09-10,108255770,97,"English",6.6,436,"Graham Annable,Anthony Stacchi","","based on novel,fantasy,stop motion animation,animation","Nominated for 1 Oscar. Another 8 wins & 58 nominations.",61,6.8,"40,210",7,3.5,46787,152,114,38,63,75,"Isaac Hempstead Wright,Ben Kingsley,Elle Fanning,Simon Pegg,Toni Collette,Jared Harris,Nick Frost,Tracy Morgan,Richard Ayoade,Laraine Newman,Dee Bradley Baker,Steve Blum,Nika Futterman,Pat Fraley,Fred Tatasciore,Max Mitchell,Maurice LaMarche,James Urbaniak,Brian George,Lori Tritel,Reckless Jack,Tom Kenny,Sam Lavagnino,Julian Stone",8,59
"5","tt0790636",6,83.125,14.8333333333333,"DALLAS BUYERS CLUB",5000000,"Drama,History",1.618622,2013-09-07,55198285,117,"English,日本語",7.8,1537,"Jean-Marc Vallée","","women,aids,biography,based on true story,hiv,drug,1980s","Won 3 Oscars. Another 79 wins & 78 nominations.",84,8,"321,295",7.8,4.2,90897,235,220,15,91,94,"Matthew McConaughey,Jennifer Garner,Jared Leto,Denis O'Hare,Steve Zahn,Michael O'Neill,Dallas Roberts,Griffin Dunne,Kevin Rankin,Donna DuPlantier,Deneen Tyler,J.D. Evermore,Ian Casselberry,Jane McNeill,Juliet Reeves,Douglas M. Griffin",82,78
"6","tt0816442",1,75.5,5,"THE BOOK THIEF",0,"Drama",1.543041,2013-11-08,76586316,131,"English,Deutsch",7.3,698,"Brian Percival","Michael Petroni","world war ii,book,nazi germany,jewish","Nominated for 1 Oscar. Another 7 wins & 14 nominations.",53,7.6,"97,881",5.7,3.8,49768,135,62,73,73,46,"Roger Allam,Sophie Nélisse,Heike Makatsch,Julian Lehmann,Gotthard Lange,Rainer Reiners,Kirsten Block,Geoffrey Rush,Emily Watson,Nico Liersch,Ludger Bökelmann,Paul Schalper,Nozomi Linus Kaisar,Oliver Stokowski,Robert Beyer,Hildegard Schroedter,Levin Liam,Ben Schnetzer,Sandra Nedeleff,Rafael Gareisen,Carl Heinz Choynski,Rainer Bock,Barbara Auer,Mike Maas,Sebastian Hülk,Matthias Matschke,Beata Lehmann,Laina Schwarz,Marie Burchard,Georg Tryphon,Joachim Paul Assböck,Martin Ontrop,Jan Andres,Stephanie Stremler,Carina Wiese",7,15
"7","tt0816692",8,84.671875,17.375,"INTERSTELLAR",165000000,"Adventure,Drama,Science Fiction",13.144995,2014-11-05,621752480,169,"English",8.1,5357,"Christopher Nolan","Christopher Nolan,Jonathan Nolan","saving the world,artificial intelligence,father-son relationship,single parent,nasa,expedition,future,wormhole,space travel,famine,black hole,dystopia,race against time,quantum mechanics,alternate dimension,spaceship,rescue,family relationships,drone,moral courage,farmhouse,robot,astronaut,written by director,scientist,father daughter relationship,widower,single father,near future,farmer,space station,astrophysics,zero gravity,dystopic future,flashback,courage,deathbed,alien world,spacetime,time paradox,earth viewed from space,relativity,water planet","Won 1 Oscar. Another 39 wins & 132 nominations.",74,8.6,"910,366",7,4.1,168343,307,218,89,85,71,"Matthew McConaughey,Anne Hathaway,Jessica Chastain,Michael Caine,Casey Affleck,Mackenzie Foy,Timothée Chalamet,Bill Irwin,Matt Damon,Ellen Burstyn,John Lithgow,Wes Bentley,Topher Grace,David Oyelowo,David Gyasi,William Devane,Josh Stewart,Collette Wolfe,Leah Cairns,Russ Fega,Lena Georgas,Jeff Hephner,Elyes Gabel,Brooke Smith,Liam Dickinson,Francis X. McCarthy,Andrew Borba,Flora Nolan,William Patrick Brown,Cici Leah Campbell,Kristian Van der Heyden,Mark Casimir Dyniewicz,Joseph Oliveira",40,132
"8","tt0975645",1,71,0,"HITCHCOCK",0,"Drama",0.612735,2012-11-22,23570541,98,"English",6.3,287,"Sacha Gervasi","","biography,title spoken by character,hitchcockian,movie set,movie actress,movie actor,alfred hitchcock","Nominated for 1 Oscar. Another 4 wins & 27 nominations.",55,6.9,"59,998",6.2,3.5,28972,199,123,76,60,62,"Anthony Hopkins,Helen Mirren,Scarlett Johansson,James D'Arcy,Jessica Biel,Michael Stuhlbarg,Ralph Macchio,Toni Collette,Danny Huston,Michael Wincott,Kurtwood Smith,Judith Hoag,Currie Graham,Wallace Langham",4,28
"9","tt0993846",1,68.25,8,"WOLF OF WALL STREET",100000000,"Crime,Drama,Comedy",3.260319,2013-12-25,392000694,180,"Français,English",7.9,3483,"Martin Scorsese","","corruption,sex,sexuality,bank,humor,biography,wall street,marriage crisis,rise and fall,stockbroker,drug,stock broker","Nominated for 5 Oscars. Another 35 wins & 154 nominations.",75,8.2,"766,948",7.7,4,177265,254,196,58,82,77,"Leonardo DiCaprio,Jonah Hill,Margot Robbie,Kyle Chandler,Rob Reiner,Matthew McConaughey,Jon Bernthal,Kenneth Choi,P. J. Byrne,Brian Sacca,Henry Zebrowski,Jon Favreau,Cristin Milioti,Joanna Lumley,Jake Hoffman,Ethan Suplee,Jean Dujardin,Christine Ebersole,Shea Whigham,Katarina Cas,P. J. Byrne,Bo Dietl,Jon Spinogatti,Aya Cash,Rizwan Manji,Stephanie Kurtzuba,J.C. MacKenzie,Ashlie Atkinson,Stephen Kunken,Ted Griffin,Sandra Nelson,Dan Bittner,Spike Jonze,Mackenzie Meehan,Thomas Middleditch,Edward Herrmann,Jordan Belfort,Fran Lebowitz,Robert Clohessy,Welker White,Danny Flaherty,Carla Corvo,Madison McKinley,Aaron Lazar,Steve Routman,Steve Witting,Charley Morgan,Michael Nathanson,Kathleen Fellegara,John Behlmann,Ward Horton,Bret Shuford,J.T. O'Connor,Steven Boyer,Danny A. Abeckaser,Matthew Rauch,Michael Izquierdo,Donnie Keshawarz,Johnathan Tchaikovsky,Aaron Glaser,Ben Rameaka,Brian Charles Johnson,Sebastian Tillinger,Chris Riggi,Meghan Rafferty,José Ramón Rosario,Davram Stiefler,Dan Daily,Ben Van Bergen,Matte Osian,Michael Devine,Jason Furlani,Jeremy Bobb,Tom Greer,Sharon Jones,Emily Tremaine,Zineb Oukach,Giselle Eisenberg,Deema Aitken,Ashley Springer,Rémy Bennett,Catherine Curtin,Paul Urcioli,Michael O'Hara,Michael Bryan French,Armen Garo,Garry Pastore,Louis Vanaria,Peter Youngblood Hills,Brendan Griffin,Derek Milman,Victor Verhaeghe,Chris Caldovino,Fileena Bahris,Silvia Kal,Kamron Leal,Tommy Bayiokos,Gianni Biasetti Jr.,Rick Bolander,Spenser Granese,Julian Brand,Kenneth Carrella,Austin Farwell,Zach Miko,Tyler Evan Rowe,Stefano Villabona,Gregory M. Brown,Tucker Bryan,Michael Jefferson,Bryan Burton,Mike Catapano,Steven Conroy,Chris J. Cullen,Kelsey Deanne,Maria Di Angelis,Matthew Gooley,London Hall,Rosemary Howard,Chris Kerson,Natasha Key,Ben Leasure,Paul Jude Letersky,Will MacAdam,Jeff Moffitt,Chris Nunez,Seregon O'Dassey,Joseph Oliveira,And Palladino,Michael Power,Jon Douglas Rainey,Nicole Rutigliano,Sibyl Santiago,Kathryn Shasha,Vitaliy Shtabnoy,Blago Simon,Paul Thornton,Madeleine Wade,David Wenzel,Joe Zaso,Francis Brooke",35,159
"10","tt1024648",1,78,0,"ARGO",44500000,"Drama,Thriller",1.807137,2012-10-11,232324128,120,"English,فارسی",6.9,2282,"Ben Affleck","","cia,wife husband relationship,document,revolution,hiding place,canadian,press conference,hanged man,american abroad,crane,subtitled scene,movie poster,title appears in writing,extraction,reference to warren beatty,iran hostage crisis,sweatshop,intelligence agent,film studio,langley virginia,variety the newspaper","Won 3 Oscars. Another 91 wins & 149 nominations.",86,7.7,"447,821",8.4,4.2,205841,306,293,13,90,96,"Ben Affleck,Bryan Cranston,Alan Arkin,John Goodman,Victor Garber,Tate Donovan,Clea DuVall,Scoot McNairy,Rory Cochrane,Christopher Denham,Kerry Bishé,Kyle Chandler,Chris Messina,Zeljko Ivanek,Titus Welliver,Richard Kind,Taylor Schilling,Keith Szarabajka,Bob Gunton,Page Leong,Omid Abtahi,Sheila Vand,Karina Logue,Ryan Ahern,Bill Tangradi,Jamie McShane,Roberto Garcia,Christopher Stanley,Jon Woodward Kirby,Victor McCay,Matt Nolan,J.R. Cacia,Bill Kalmenson,Rob Brownstein,David Sullivan,John Boyd,Yuriy Sardarov,Nikka Far,Aidan Sussman,Barry Livingston,Ali Saam,Araz Vahid Ebrahim Nia,Scott Anthony Leet,Michael Parks,Mehrdad Sarlak,Ray Haratian,Matthew Glave,Nancy Stelle,Mark Smith,Richard Dillane,Farshad Farahat,Alborz Basiratmand,Ruty Rutenberg,Michael Woolston,Sharareh Sedghi,Bobby Zegar,Ray Porter",94,149
