id,imdb_id,name,gross,date,theater,time,num_of_shows,ticket_price
36,tt3170832,"ROOM - Sorry, this showing has been canceled!",,2015-11-24,2,21:25,1,8.0
782,tt0051818,KING CREOLE (Thrillville Theater) (<a target=”_blank” href=http://brownpapertickets.com/event/543139>Purchase Tickets Online</a>),0,2014-01-09,2,21:15,1,8.0
659,tt0063350,"NIGHT OF THE LIVING DEAD, Movie Only (Savory Cinema) (<a target=”_blank” href=http://brownpapertickets.com/event/885344>Purchase Tickets Online</a>)",0,2014-10-13,1,21:30,2,16.5
1062,tt0065944,KING: A FILMED RECORD (<a target=”_blank” href=http://brownpapertickets.com/event/433443>Purchase Tickets Online</a>),0,2013-08-28,2,18:30,1,6.0
1054,tt0068619,"GANJA AND HESS, presented by International Black Women's Film Festival",0,2014-10-26,1,12:30,1,8.0
1094,tt0078446,CHEECH AND CHONG'S UP IN SMOKE (Stoner's Delight) (<a target=”_blank” href=http://brownpapertickets.com/event/830905>Purchase Tickets Online</a>),0,2014-08-29,1,22:30,1,8.0
322,tt0078902,"BREAKING AWAY, benefit screening for 'Ride For Reason' - Oakland Public Schools",0,2014-02-09,2,12:00,1,5.0
322,tt0078902,"BREAKING AWAY, presented by Ride for a Reason (<a target=”_blank” href=http://brownpapertickets.com/event/1232907>Purchase Tickets Online</a>)",0,2015-03-08,1,12:30,1,8.0
658,tt0079588,"THE MUPPET MOVIE, a benefit for Urban Montessori",0,2014-10-12,2,12:30,1,8.0
167,tt0080339,AIRPLANE! (Blockbuster Night) (<a target=”_blank” href=http://brownpapertickets.com/event/1766167>Purchase Tickets Online</a>),0,2015-07-16,2,21:30,1,8.0
1083,tt0080455,THE BLUES BROTHERS (New Parkway Cult Night) (<a target=”_blank” href=http://brownpapertickets.com/event/526589>Purchase Tickets Online</a>),0,2013-12-20,2,22:30,1,8.0
791,tt0084237,THE LAST UNICORN (New Parkway Family Classics),0,2013-05-05,2,12:30,1,6.0
382,tt0084269,"LOSING GROUND, presented by Black Laurel Film Series (<a target=”_blank” href=http://www.eventbrite.com/e/losing-ground-new-vanguard-of-black-women-in-film-kathleen-collins-black-laurel-film-series-04-tickets-16624095116>Purchase Tickets Online</a>)",0,2015-07-26,2,12:30,1,8.0
877,tt0084503,PINK FLOYD THE WALL,0,2013-02-02,2,23:30,1,6.0
986,tt0088128,SIXTEEN CANDLES (Parkway Classics) (<a target=”_blank” href=http://brownpapertickets.com/event/564589>Purchase Tickets Online</a>),0,2014-02-27,2,21:15,1,8.0
598,tt0089218,GOONIES (Parkway Classics) (<a target=”_blank” href=http://brownpapertickets.com/event/543194>Purchase Tickets Online</a>),0,2014-01-16,2,21:15,1,8.0
