imdb_id,country
tt0013442,Germany
tt0022286,USA
tt0024216,USA
tt0026138,USA
tt0032138,USA
tt0034583,USA
tt0037120,USA
tt0037913,USA
tt0038355,USA
tt0040068,USA
tt0040522,Italy
tt0040613,USA
tt0040634,Yugoslavia
tt0041386,USA
tt0042546,USA
tt0044518,France
tt0045464,USA
tt0046250,USA
tt0046876,USA
tt0047573,USA
tt0047577,USA
tt0048215,USA
tt0048554,USA
tt0048980,France
tt0049223,USA
tt0049408,USA
tt0050084,USA
tt0050539,USA
tt0050908,USA
tt0051036,USA
tt0051337,"UK, USA"
tt0051554,UK
tt0051818,USA
tt0052104,USA
tt0052646,USA
tt0053241,Mexico
tt0053291,USA
tt0053363,USA
tt0053611,USA
tt0054135,USA
tt0054215,USA
tt0054387,USA
tt0054692,USA
tt0055198,Japan
tt0056142,"Japan, USA"
tt0056875,USA
tt0056923,USA
tt0057197,"UK, USA"
tt0057465,USA
tt0057603,"Italy, France, USA"
tt0057693,USA
tt0058150,UK
tt0058182,UK
tt0058385,USA
tt0058414,USA
tt0058548,USA
tt0058725,USA
tt0059079,Hong Kong
tt0059742,USA
tt0059800,UK
tt0060277,Japan
tt0061184,USA
tt0061695,Japan
tt0062622,"UK, USA"
tt0062711,"France, Italy"
tt0062803,UK
tt0063090,Mexico
tt0063350,USA
tt0064757,UK
tt0065214,USA
tt0065856,USA
tt0065944,USA
tt0066256,USA
tt0066518,"UK, USA"
tt0066603,Japan
tt0066740,"UK, USA"
tt0066921,"UK, USA"
tt0067185,USA
tt0067992,USA
tt0068284,USA
tt0068327,USA
tt0068619,USA
tt0068646,USA
tt0069005,USA
tt0069089,USA
tt0070016,USA
tt0070034,"Hong Kong, USA"
tt0070047,USA
tt0070800,Hong Kong
tt0071222,"Canada, USA"
tt0071230,USA
tt0071517,USA
tt0071562,USA
tt0071615,"Mexico, USA"
tt0071695,Japan
tt0071853,UK
tt0071994,USA
tt0072271,USA
tt0072431,USA
tt0072856,USA
tt0072869,USA
tt0072913,"Taiwan, Hong Kong"
tt0072979,USA
tt0073168,Hong Kong
tt0073195,USA
tt0073629,"UK, USA"
tt0076162,Japan
tt0076271,USA
tt0076786,Italy
tt0077559,Hong Kong
tt0077631,USA
tt0077681,USA
tt0078446,USA
tt0078480,UK
tt0078504,USA
tt0078748,"UK, USA"
tt0078902,USA
tt0079432,Hong Kong
tt0079588,"UK, USA"
tt0079609,Hong Kong
tt0079766,UK
tt0079813,USA
tt0079946,USA
tt0080002,Hong Kong
tt0080057,Italy
tt0080120,USA
tt0080339,USA
tt0080380,"USA, West Germany"
tt0080455,USA
tt0080745,"UK, USA"
tt0081184,USA
tt0081353,USA
tt0081505,"UK, USA"
tt0082010,UK
tt0082186,"UK, USA"
tt0082198,USA
tt0082340,"UK, USA"
tt0082418,USA
tt0082474,"UK, USA"
tt0082694,Australia
tt0082766,USA
tt0082971,USA
tt0083001,USA
tt0083062,Hong Kong
tt0083658,"USA, Hong Kong, UK"
tt0083767,USA
tt0083791,"USA, UK"
tt0083866,USA
tt0083907,USA
tt0083929,USA
tt0084237,"USA, UK, Japan, West Germany, France"
tt0084269,USA
tt0084503,UK
tt0084516,USA
tt0084649,USA
tt0084726,USA
tt0084787,USA
tt0084805,USA
tt0085211,Hong Kong
tt0085334,"USA, Canada"
tt0085701,"UK, USA"
tt0086216,USA
tt0086250,USA
tt0086320,USA
tt0086373,"Canada, USA"
tt0086525,USA
tt0086856,USA
tt0087182,USA
tt0087332,USA
tt0087363,USA
tt0087469,USA
tt0087799,USA
tt0087800,USA
tt0087957,USA
tt0087995,USA
tt0088128,USA
tt0088178,USA
tt0088194,USA
tt0088258,USA
tt0088323,"West Germany, USA"
tt0088763,USA
tt0088846,UK
tt0088847,USA
tt0088930,USA
tt0089017,USA
tt0089175,USA
tt0089218,USA
tt0089489,"UK, USA"
tt0089791,USA
tt0089877,"USA, Japan, France"
tt0089885,USA
tt0089907,USA
tt0089994,USA
tt0090605,"USA, UK"
tt0090633,USA
tt0090756,USA
tt0091042,USA
tt0091369,"UK, USA"
tt0091419,USA
tt0091790,USA
tt0091814,USA
tt0091954,UK
tt0092005,USA
tt0092076,USA
tt0092086,USA
tt0092603,Denmark
tt0092890,USA
tt0092991,USA
tt0093177,UK
tt0093437,USA
tt0093565,USA
tt0093779,USA
tt0093822,USA
tt0094012,USA
tt0094625,Japan
tt0094721,USA
tt0095016,USA
tt0095159,"UK, USA"
tt0095270,USA
tt0095489,"USA, Ireland"
tt0096061,USA
tt0096256,USA
tt0096283,Japan
tt0096438,USA
tt0096446,"USA, New Zealand, UK"
tt0096895,"USA, UK"
tt0096928,USA
tt0097050,Japan
tt0097493,USA
tt0097523,"USA, Mexico"
tt0097814,Japan
tt0098635,USA
tt0099329,USA
tt0099487,USA
tt0099674,USA
tt0099785,USA
tt0099878,USA
tt0100332,USA
tt0100935,USA
tt0100944,"UK, USA"
tt0101700,France
tt0101889,USA
tt0101921,USA
tt0102685,"Japan, USA"
tt0102926,USA
tt0103074,"USA, France"
tt0103099,USA
tt0103772,"France, USA"
tt0103855,USA
tt0103873,New Zealand
tt0103874,USA
tt0103893,USA
tt0104694,USA
tt0105236,USA
tt0105643,Italy
tt0105793,USA
tt0106308,USA
tt0106500,USA
tt0106677,USA
tt0107048,USA
tt0107290,USA
tt0107692,Japan
tt0108281,Hong Kong
tt0108399,"USA, France"
tt0108448,UK
tt0108593,Hong Kong
tt0109045,Australia
tt0109504,USA
tt0109686,USA
tt0110057,USA
tt0110148,USA
tt0110763,USA
tt0110912,USA
tt0112431,"Australia, USA"
tt0112495,"UK, USA"
tt0112682,"France, Germany, Spain"
tt0112697,USA
tt0113118,USA
tt0113749,USA
tt0114436,"France, USA"
tt0114814,"USA, Germany"
tt0115734,USA
tt0115736,USA
tt0116282,"USA, UK"
tt0116367,USA
tt0116908,USA
tt0116922,"France, USA"
tt0117008,USA
tt0117509,USA
tt0117603,USA
tt0117705,USA
tt0117802,USA
tt0117951,UK
tt0118125,USA
tt0118655,"USA, Germany"
tt0118715,"USA, UK"
tt0118749,USA
tt0119116,France
tt0119217,USA
tt0119572,USA
tt0119654,USA
tt0119698,Japan
tt0119879,"Mexico, USA, Spain"
tt0120094,USA
tt0120185,UK
tt0120338,USA
tt0120601,USA
tt0120611,USA
tt0120630,"UK, USA, France"
tt0120669,USA
tt0120693,USA
tt0120737,"New Zealand, USA"
tt0120794,USA
tt0126029,USA
tt0129167,USA
tt0133093,USA
tt0137523,"USA, Germany"
tt0143348,Japan
tt0147612,USA
tt0152468,USA
tt0156887,Japan
tt0158983,USA
tt0162346,"USA, UK, Germany"
tt0164912,"Germany, USA"
tt0166924,"France, USA"
tt0177789,USA
tt0179116,USA
tt0181875,USA
tt0185125,"Spain, France"
tt0190332,"Taiwan, Hong Kong, USA, China"
tt0190641,Japan
tt0200642,Philippines
tt0203009,"Australia, USA"
tt0206634,"USA, UK, Japan"
tt0209144,USA
tt0211915,"France, Germany"
tt0218839,USA
tt0230010,USA
tt0241303,"UK, USA"
tt0241527,"UK, USA"
tt0243655,USA
tt0245429,Japan
tt0246578,USA
tt0248845,USA
tt0250494,USA
tt0255549,USA
