imdb_id,name,imdb_id,tmdb_id,budget,genres,tmdb_popularity,release_date,revenue,runtime,languages,tmdb_rating,tmdb_votes,directors,writers,keywords,awards,metascore,imdb_rating,imdb_votes,tomato_critic_rating,tomato_user_rating,tomato_user_votes,tomato_critic_votes,tomato_fresh_reviews,tomato_rotten_reviews,tomato_user_meter,tomato_critic_meter,actors
tt0013442,NOSFERATU,tt0013442,653,0,"Fantasy,Horror",0.401945,1922-03-06,0,82,Deutsch,7.3,137,F.W. Murnau,,"shapeshifting,self sacrifice,castle,loss of wife,seashore,vampire bat,real estate agent,ghoul,locket, nosferatu,real estate,black death,expressionism,mountain country,public domain,sleepwalking,romania",1 win & 1 nomination.,N/A,8,"67,798",9.0,4.0,47130,62,60,2,87.0,97.0,"Max Schreck,Gustav von Wangenheim,Greta Schröder,Alexander Granach,Georg H. Schnell,Ruth Landshoff,John Gottowt,Gustav Botz,Max Nemetz,Wolfgang Heinz,Albert Venohr,Guido Herzfeld,Hardy von Francois,Karl Etlinger,Heinrich Witte,Eric van Viele,Fanny Schreck"
tt0022286,THE PUBLIC ENEMY,tt0022286,17687,0,"Drama,Action,Crime",0.166861,1931-04-23,0,83,English,5.9,19,William A. Wellman,"Kubec Glasmon,John Bright","best friend,gangster,grapefruit",Nominated for 1 Oscar. Another 1 win.,N/A,7.8,"13,233",8.4,3.9,7385,27,27,0,85.0,100.0,"James Cagney,Jean Harlow,Edward Woods,Joan Blondell,Donald Cook,Leslie Fenton,Beryl Mercer,Robert Emmett O'Connor,Murray Kinnell,Clark Burroughs,Mae Clarke,Frank Coghlan Jr.,George Daly,Frankie Darro"
tt0024216,KING KONG,tt0024216,244,670000,"Adventure,Action,Drama,Horror,Thriller",0.48915,1933-04-07,10000000,100,English,7.4,97,"Merian C. Cooper,Ernest B. Schoedsack",,"film business,screenplay,film making,film producer,exotic island,unsociability,king kong,dinosaur,animal horror",3 wins & 4 nominations.,N/A,8,"63,736",9.0,3.6,89287,54,53,1,86.0,98.0,"Fay Wray,Robert Armstrong,Bruce Cabot,Frank Reicher,Sam Hardy,Noble Johnson,Steve Clemente,James Flavin,Victor Wong,Bill Williams,Ernest B. Schoedsack,Merian C. Cooper,Dick Curtis,Roscoe Ates"
tt0026138,BRIDE OF FRANKENSTEIN,tt0026138,229,393750,"Horror,Science Fiction",0.097767,1935-04-21,0,75,English,7.0,67,James Whale,,"lightning,cemetery,monster,parts of dead body,mill,frankenstein,classic horror",Nominated for 1 Oscar. Another 2 wins & 1 nomination.,N/A,7.9,"31,627",9.1,3.8,24241,41,41,0,87.0,100.0,"Boris Karloff,Colin Clive,Valerie Hobson,Ernest Thesiger,Elsa Lanchester,Gavin Gordon,Douglas Walton,Una O'Connor,E.E. Clive,Lucien Prival,O.P. Heggie,Dwight Frye,Reginald Barlow,Mary Gordon,Anne Darling,Ted Billings,Norman Ainsley,Peter Shaw,Kansas DeForrest,Josephine McKim,Michael Mark,Billy Barty,John Carradine,Bess Flowers,Robert Adair,Norman Ainsley,Frank Benson,Maurice Black,Walter Brennan,Mae Bruce,A.S. Byron,D'Arcy Corrigan,Grace Cunard,Jack Curtis,J. Gunnis Davis,Kansas DeForrest,Elspeth Dudgeon,Helen Jerome Eddy,Neil Fitzgerald,Brenda Fowler,John George,Helen Gibson,Marilyn Harris,Rollo Lloyd,Torben Meyer,Edwin Mordant,Edward Peil Sr.,Tempe Pigott,Sarah Schwartz,Mary Stewart,Frank Terry,Anders Van Haden,Dorothy Vernon,Lucio Villiegas,Joan Woodbury"
tt0032138,WIZARD OF OZ,tt0032138,630,2777000,"Adventure,Family,Fantasy",1.010233,1939-04-17,16538431,102,English,6.9,658,"Victor Fleming,George Cukor,Mervyn LeRoy,King Vidor",,"witch,adolescence,based on novel,secret identity,clock,dream,lion,tornado,heart,scarecrow,musical,crow,kansas,classic,imaginary land,cowardliness",Won 2 Oscars. Another 7 wins & 13 nominations.,100,8.1,"288,037",9.4,3.7,873257,109,108,1,89.0,99.0,"Judy Garland,Frank Morgan,Ray Bolger,Bert Lahr,Jack Haley,Billie Burke,Margaret Hamilton,Charley Grapewin,Clara Blandick,Charles Becker,Meinhardt Raabe,Frank Morgan,Margaret Hamilton,Bert Lahr,Jack Haley,Pat Walshe,Terry,The Singer Midgets,Dorothy Barrett,Amelia Batchelor,Billy Bletcher,Lorraine Bridges,Buster Brodie,Tyler Brooke,Candy Candido,Mickey Carroll,Adriana Caselotti,Harry Cogg,Pinto Colvig,Nona Cooper,Tommy Cottonaro,Jimmy the Crow,Billy Curtis,Ken Darby,Sid Dawson,Abe Dinovitch,Jon Dodson,Gracie Doll,Tiny Doll,Ruth Duccini,Daisy Earles,Harry Earles,Buddy Ebsen,Fern Formica,Sig Frohlich,Jackie Gerlich,Phil Harron,Shep Houghton,Charles Irwin,Lois January,Eleanor Keaton,The King's Men,Karl 'Karchy' Kosiczky,Nita Krebs,Ethelreda Leopold,Mitchell Lewis,Bud Linn,Jerry Maren,Dona Massin,George Ministeri,Yvonne Moray,Lee Murray,Olga Nardone,George Noisom,Jack Paul,Margaret Pellegrini,Hazel Resmondo,Freddie Retter,'Little Billy' Rhodes,The Rhythmettes,Elvida Rizzo,Rad Robinson,Ambrose Schindler,Helen Seamon,Rolfe Sedan,Oliver Smith,Robert St. Angelo,Parnell St. Aubin,Parnell St. Aubin,Ralph Sudam,August Clarence Swenson,Harry Wilson,Johnny Winters,Murray Wood"
tt0034583,CASABLANCA,tt0034583,289,950000,"Drama,Romance",1.427771,1942-11-26,10462500,102,"Deutsch,Français,Italiano,English",7.6,661,Michael Curtiz,,"love triangle,corruption,spy,resistance,casablanca,emigration,visa,patriotism,nationalism,concentration camp,nazis,title spoken by character",Won 3 Oscars. Another 4 wins & 8 nominations.,N/A,8.6,"382,966",9.3,4.1,354962,73,71,2,95.0,97.0,"Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt,Sydney Greenstreet,Peter Lorre,Madeleine Lebeau,Dooley Wilson,Joy Page,John Qualen,Leonid Kinskey,Curt Bois,Marcel Dalio,Helmut Dantine,Hans Heinrich von Twardowski,S.Z. Sakall,Norma Varden,Gino Corrado,Enrique Acosta,Ed Agresti,Louis V. Arco,Frank Arnold,Leon Belasco,Nino Bellini,Oliver Blake,Monte Blue,Eugene Borden,Dick Botiller,Maurice Brierre,Sebastian Cabot,Anita Camargo,George M. Carleton,Spencer Chan,Melie Chang,Franco Corsaro,Adrienne D'Ambricourt,Jean De Briac,George Dee,Jean Del Val,Carl Deloro,Joseph DeVillard,Arthur Dulac,William Edmunds,Herbert Evans,Fred Farrell,Adolph Faylauer,O.K. Ford,Martin Garralaga,Gregory Gaye,Gregory Golubeff,Ilka Grüning,Creighton Hale,Winifred Harris,Jamiel Hasson,Arthur Stuart Hull,Olaf Hytten,Charles La Torre,George J. Lewis,Manuel Lopez,Jacques Lory,Lou Marcelle,Michael Mark,Tony Martelli,George Meeker,Lal Chand Mehra,Hercules Mendez,Louis Mercier,Torben Meyer,Alberto Morin,Leo Mostovoy,Corinna Mura,Barry Norton,Lotte Palfi Andor,Paul Panzer,Manuel París,Alexander Pollard,Frank Puglia,Georges Renavent,Dewey Robinson,Richard Ryen,Dan Seymour,Lester Sharpe,Dina Smirnova,Gerald Oliver Smith,George Sorel,Geoffrey Steele,Ludwig Stössel,Mike Tellegen,Rafael Trujillo,Jacques Vanaire,Ellinor Vanderveer,Jack Wise,Wolfgang Zilzer,Trude Berliner,Paul Porcasi,Max Linder,Frank Mazzola,Henry Rowland,Leo White,Paul Irving,Brandon Beach,Victor Romito,Tex Cooper"
tt0037120,NATIONAL VELVET,tt0037120,17641,0,"Drama,Family",0.026379,1944-12-14,0,123,English,5.3,8,Clarence Brown,,"england,horse,jockey,rider horse relationship,afi",Won 2 Oscars. Another 1 win & 4 nominations.,N/A,7.4,"4,944",8.3,3.5,9873,23,23,0,78.0,100.0,"Mickey Rooney,Donald Crisp,Elizabeth Taylor,Anne Revere,Angela Lansbury,Jackie 'Butch' Jenkins,Juanita Quigley,Reginald Owen,Norma Varden"
tt0037913,MILDRED PIERCE,tt0037913,3309,1453000,"Romance,Drama,Thriller,Crime,Mystery",0.049591,1945-09-24,5638000,111,"English,Español",5.7,19,Michael Curtiz,,"beach,infidelity,restaurant,promise,melodrama,title spoken by character,singing,girl,beach house,mother daughter estrangement,film noir",Won 1 Oscar. Another 2 wins & 6 nominations.,N/A,8,"15,669",7.7,4.1,8011,34,28,6,90.0,82.0,"Joan Crawford,Jack Carson,Zachary Scott,Eve Arden,Ann Blyth,Bruce Bennett,Lee Patrick,Moroni Olsen,Veda Ann Borg,Jo Ann Marlowe,Butterfly McQueen,Betty Alexander,Ramsay Ames,Angela Greene,George Anderson,Robert Arthur,Lynn Baggett,Doria Caron,Joyce Compton,Marjorie Kane,Marion Lessing,Leah Baird,Dorothy Barrett,Barbara Brown,Claire Carleton,Wallis Clark,Chester Clute,John Compton,Clancy Cooper,Tom Dillon,Charles Jordan,Garry Owen,David Cota,James Flavin,Bess Flowers,Dorothy Hack,Arthur Stuart Hull,Fred Kelsey,Wheaton Chambers,Richard Kipling,William Ruhl,Manart Kippen,Jimmy Lono,Jean Lorraine,George Meader,Harold Miller,Jack Mower,Frank O'Connor,Paul Panzer,Larry Rio,Jeffrey Sayre,Mary Servoss,George Tobias,Charles Trowbridge,Johnny Walsh,Joan Winfield"
tt0038355,THE BIG SLEEP,tt0038355,910,0,"Crime,Drama,Mystery,Thriller",0.655871,1946-08-23,0,116,English,7.2,86,Howard Hawks,,"poison,gambling,detective,suspense,los angeles,drug,classic noir,private detective,book store,philip marlowe,missing person,film noir",1 win.,N/A,8,"63,475",8.8,4.1,33074,53,51,2,91.0,96.0,"Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers,Dorothy Malone,Peggy Knudsen,Charles Waldron,Regis Toomey,Charles D. Brown,Elisha Cook Jr.,Louis Jean Heydt,Bob Steele,Sonia Darrin"
tt0040068,ABBOTT AND COSTELLO MEET FRANKENSTEIN,tt0040068,3073,0,"Comedy,Horror",0.177353,1948-06-15,0,83,English,7.2,25,Charles Barton,,"dracula,frankenstein,horror spoof,abbott and costello",1 win.,N/A,7.6,"10,694",7.1,3.8,8448,25,22,3,85.0,88.0,"Bud Abbott,Lou Costello,Lon Chaney Jr.,Bela Lugosi,Glenn Strange,Jane Randolph,Frank Ferguson,Charles Bradstreet,George Barton,Lenore Aubert,Vincent Price,Bobby Barber,Joe Kirk,Harry Brown,Howard Negley,Carl Sklover,Helen Spring,Paul Stader,Clarence Straight,Joe Walls"
