"","imdb_id","num_of_shows","attendees_per_show","avg_nth_day","name","budget","genres","tmdb_popularity","release_date","revenue","runtime","languages","tmdb_rating","tmdb_votes","directors","writers","keywords","awards","metascore","imdb_rating","imdb_votes","tomato_critic_rating","tomato_user_rating","tomato_user_votes","tomato_critic_votes","tomato_fresh_reviews","tomato_rotten_reviews","tomato_user_meter","tomato_critic_meter","actors","award_wins","award_nominations"
"1","tt0337692",12,20.5912698412698,3,"ON THE ROAD",25000000,"Adventure,Drama",0.474528,2012-05-22,8784318,137,"English,Français",5.6,182,"Walter Salles","","male nudity,cemetery,funeral,song,kiss,friendship,road trip,based on book,marijuana,snow,three word title,bare breasts,cigarette smoking,writer,photograph,on the road,sex scene,singing in a car,voice over narration,typewriter,voice over,suicide thoughts,road movie,denver colorado,kerouac","2 wins & 4 nominations.",56,6.1,"32,720",5.6,2.8,10714,141,61,80,34,43,"Kristen Stewart,Garrett Hedlund,Sam Riley,Kirsten Dunst,Tom Sturridge,Viggo Mortensen,Amy Adams,Alice Braga,Steve Buscemi,Danny Morgan,Elisabeth Moss,Giovanna Zacarías,Terrence Howard",2,4
"2","tt0359950",1,12.875,0,"SECRET LIFE OF WALTER MITTY",90000000,"Adventure,Comedy,Drama,Fantasy",3.657149,2013-12-18,188133322,114,"English",7,1944,"Ben Stiller","","photographer,magazine,iceland,daydream,photograph,shark,fired from the job,skateboard,dreamer,himalayas,online dating,daydreaming","5 wins & 16 nominations.",54,7.3,"232,894",6,3.7,78543,180,90,90,70,51,"Ben Stiller,Kristen Wiig,Patton Oswalt,Shirley MacLaine,Adam Scott,Kathryn Hahn,Sean Penn,Terence Bernie Hines,Gurdeep Singh,Alex Anfanger,Gary Wilmes,Adrian Martinez,Jon Daly",5,16
"3","tt0369610",7,26.9464285714286,7.28571428571429,"JURASSIC WORLD",150000000,"Action,Adventure,Science Fiction,Thriller",13.649929,2015-06-09,1513528810,124,"English",6.6,4726,"Colin Trevorrow","","monster,dna,tyrannosaurus rex,velociraptor,island,sequel,suspense,disaster,escape,dinosaur,amusement park,animal attack,theme park,jurassic park,3d,animal horror","4 wins & 53 nominations.",59,7,"408,124",6.7,3.9,222015,295,211,84,78,72,"Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Omar Sy,Nick Robinson,Ty Simpkins,BD Wong,Jake Johnson,Judy Greer,Lauren Lapkus,Brian Tee,Andy Buckley,Katie McGrath,Courtney J. Clark,Jimmy Fallon,Kelly Washington,Yvonne Angulo,Aas Mohammad Ali Abbasi,Tiffany Forest",4,53
"4","tt0443272",7,25.8095238095238,6.42857142857143,"LINCOLN",65000000,"Drama,War",1.11025,2012-11-09,275293450,149,"English",6.6,900,"Steven Spielberg","","u.s. president,speech,death of a child,battlefield,title spoken by character,mental illness,family conflict,mourning,cultural conflict,based on true events,battle of gettysburg,team conflict,mary todd lincoln,secession,presidential cabinet,reference to ulysses s. grant,gettysburg address,conflagration,ethical dilemma,emancipation,abraham lincoln","Won 2 Oscars. Another 107 wins & 235 nominations.",86,7.4,"196,153",8,4,244590,255,229,26,81,90,"Daniel Day-Lewis,Sally Field,David Strathairn,Joseph Gordon-Levitt,James Spader,Hal Holbrook,Tommy Lee Jones,Lee Pace,Jackie Earle Haley,Jared Harris,Bruce McGill,Walton Goggins,Tim Blake Nelson,Boris McGiver,Adam Driver,John Hawkes,Joseph Cross,Peter McRobbie,Gulliver McGrath,Gloria Reuben,Jeremy Strong,Michael Stuhlbarg,David Costabile,Stephen Spinella,Walton Goggins,David Warshofsky,Colman Domingo,Lukas Haas,Dane DeHaan,Bill Camp,Elizabeth Marvel,Julie White,Byron Jennings,Richard Topol,Walter Smith,Dakin Matthews,Wayne Duvall,Bill Raymond,Drew Sease,John Hutton,Chase Edmunds,Gregory Itzin,John Lescault,Mike Shiflett,Gannon McHale,Ken Lambert,Thomas K. Belgrey,Mary Dunleavy,Armistead Wellford,Ted Johnson,Don Henderson Baker,Raynor Scheine,Todd Fletcher,Charles Kinney,Joseph Carlson,Michael Goodwin,Edward McDonald,Jim Batchelder,Gregory Hosaflook,Joe Kerkes,William Kaffenberger,Larry Van Hoose,C. Brandon Marshall,Christopher Boyer,S. Epatha Merkerson,Robert Shepherd,Grainger Hines,Skye Dennis",109,235
"5","tt0453562",9,18.4270833333333,4.625,"42",40000000,"Drama",0.669873,2013-04-12,95020213,128,"",6.7,617,"Brian Helgeland","","baseball,sport,brooklyn dodgers,number as title","3 wins & 17 nominations.",62,7.5,"65,868",6.8,4.1,119027,178,140,38,86,79,"Chadwick Boseman,T.R. Knight,Harrison Ford,Nicole Beharie,Christopher Meloni,John C. McGinley,Ryan Merriman,Jud Tylor,Brett Cullen,Brad Beyer,Lucas Black,Andre Holland,Alan Tudyk,Hamish Linklater,James Pickens Jr.,Gino Anthony Pesi,Kelley Jakle",3,17
"6","tt0454876",21,25.6833333333333,14.5333333333333,"LIFE OF PI",120000000,"Adventure,Drama,Action",1.79624,2012-11-20,609016565,127,"English,Français,हिन्दी,日本語,தமிழ்",7,4001,"Ang Lee","","ocean,shipwreck,hindu,tiger,faith,zookeeper,teenage boy,cargo ship,lifeboat,injured animal","Won 4 Oscars. Another 76 wins & 124 nominations.",79,8,"433,607",7.9,4.1,167765,232,201,31,84,87,"Suraj Sharma,Irrfan Khan,Ayush Tandon,Gautam Belur,Adil Hussain,Tabu,Rafe Spall,Gérard Depardieu,James Saito,Jun Naito,Andrea Di Stefano,Vibish Sivakumar,Mohd Abbas Khaleeli,Shravanthi Sainath,Elie Alouf,Padmini Ramachandran,T.M. Karthik,Amarendran Ramanan,Hari Mina Bala,Wang Bo-Chieh,Ayaan Khan",80,124
"7","tt0455944",3,14.2083333333333,1,"THE EQUALIZER",55000000,"Thriller,Action,Crime",6.921953,2014-09-06,192330738,132,"English",7.2,1788,"Antoine Fuqua","Richard Wenk","revenge,gangster,commando,faked death,black ops","1 win & 6 nominations.",57,7.2,"225,121",5.7,3.9,89924,179,108,71,77,60,"Denzel Washington,Marton Csokas,Chloë Grace Moretz,David Harbour,Haley Bennett,Bill Pullman,Melissa Leo,David Meunier,Johnny Skourtis,Alex Veadov,Vladimir Kulich,E. Roger Mitchell,James Wilcox,Mike O'Dea,Anastasia Sanidopoulos Mousis,Andrew Farazi,Allen Maldonado,Matt Lasky,Vitaliy Shtabnoy,Timothy John Smith,Robert Wahlberg,Rhet Kidd,Mike Morrell,Shawn Fitzgibbon,Owen Burke,Luz Mery Sanchez,John Romualdi,Johnny Messner,Patrick Coppola,William Xifaras,Jenny Johnson,Peter Haydu,Tait Fletcher,Mark Stefanich,Dan Bilzerian,Matt Leonard,Sala Baker,Yan Dron",1,6
"8","tt0469021",4,20.5,1.75,"ALAN PARTRIDGE",0,"Comedy",0.715724,2013-07-24,0,90,"English",6.7,84,"Declan Lowney","Peter Baynham,Steve Coogan,Armando Iannucci,Neil Gibbons,Rob Gibbons","disc jockey,radio station,hostage,hostage situation,radio broadcast,laid off","1 win & 7 nominations.",66,7,"24,114",7,3.7,14182,98,85,13,73,87,"Steve Coogan,Anna Maxwell Martin,Nigel Lindsay,Simon Greenall,Colm Meaney,Felicity Montagu,Phil Cornwell,Darren Boyd,Tim Key,Monica Dolan,Simon Kunz,Sean Pertwee,Elizabeth Berrington,Jessica Knappett,Dustin Demri-Burns,Lucy Briers,Eleanor Matsuura,Robert Whitelock,Diane Morgan,Alan Rothwell,Rita Davies,Anna Stockton,Simon Delaney",1,7
"9","tt0470752",16,27.8046875,32.8125,"EX MACHINA",15000000,"Drama,Science Fiction",3.83876,2015-01-21,36869414,108,"English",7.6,2298,"Alex Garland","Alex Garland","dancing,artificial intelligence,helicopter,distrust,isolation,self-awareness,nudity,future,seclusion,friendship,deception,laboratory,escape,robot,power outage,surveillance camera,consciousness,existentialism,lockdown,drunkenness,research facility,robot human relationship,turing test","Won 1 Oscar. Another 61 wins & 133 nominations.",78,7.7,"282,661",8.1,4.1,67843,231,214,17,86,93,"Domhnall Gleeson,Alicia Vikander,Sonoya Mizuno,Oscar Isaac,Corey Johnson,Claire Selby,Symara A. Templeman,Gana Bayarsaikhan,Tiffany Pisani,Elina Alminas,Chelsea Li",62,133
"10","tt0475290",1,37,0,"HAIL CAESAR!",22000000,"Comedy,Drama,Music,Mystery",4.316065,2016-02-05,63229796,106,"English",5.5,462,"Joel Coen,Ethan Coen","Joel Coen,Ethan Coen","journalist,cat,ransom,ancient rome,movie in movie,kidnapping,character name in title,hollywood,period drama,reference to julius caesar","N/A",72,6.5,"48,237",7.2,2.9,36692,284,242,42,46,85,"Josh Brolin,George Clooney,Alden Ehrenreich,Ralph Fiennes,Jonah Hill,Scarlett Johansson,Frances McDormand,Tilda Swinton,Channing Tatum,Christopher Lambert,Veronica Osorio,Max Baker,Clancy Brown,Fisher Stevens,Patrick Fischler,Tom Musgrave,David Krumholtz,Greg Baldwin,Patrick Carroll,Heather Goldenhersh,Alison Pill,Michael Gambon,E.E. Bell,Fred Melamed,Wayne Knight,Jeff Lewis,John Bluthal,Peter Jason,Noel Conlon,Caitlin Muelder,Ming Zhao,Natasha Bassett,Noah Baron,Luke Spencer Roberts,Helen Siff,Robert Trebor,Robert Picardo,Tomoko Karina,Dolph Lundgren",0,0
