"","imdb_id","avg_num_of_attendees","num_of_shows","budget","genres","tmdb_popularity","release_date","revenue","runtime","languages","tmdb_rating","tmdb_votes","directors","writers","keywords","awards","metascore","imdb_rating","imdb_votes","tomato_critic_rating","tomato_user_rating","tomato_user_votes","tomato_critic_votes","tomato_fresh_reviews","tomato_rotten_reviews","tomato_user_meter","tomato_critic_meter","actors","name"
"1","tt0882789",1,1,0,"Comedy,Drama,Romance",0.002444,2009-07-13,0,95,"English",2.8,3,"David Morris,Jacqui Morris","David Morris","woman director","N/A",NA,5.8,"401",NA,NA,NA,NA,NA,NA,NA,NA,"James Lance,Heather Bleasdale,Peter Cooney,Jeremy Edwards,Benjamin Hart,Mark Hayford,Lucy Jules,Luke de Woolfson,Dolly Wells,Rick Warden,Terry Bird,Yvonne O'Grady,Rowly Dennis","MR. RIGHT"
"2","tt3704008",1,1,0,"Documentary",0.003573,2014-10-22,0,142,"English",0,0,"Laurent Bécue-Renard","","","3 wins & 3 nominations.",87,7,"86",8.3,3.3,149,13,13,0,67,100,"","OF MEN AND WAR"
"3","tt2630916",2,1,0,"Documentary",0.003952,2014-09-19,0,88,"English",3.5,2,"Joshua Tickell,Rebecca Harrell","Johnny O'Hara","automobile industry,oil,big corporation,woman director","N/A",56,7.7,"483",6.7,4.1,612,18,14,4,82,78,"","PUMP"
"4","tt0109504",2.7,1,0,"Comedy,Drama",0.128688,1994-05-13,0,115,"English",5.6,11,"Spike Lee","Joie Lee,Cinqué Lee","black people,1970s,jazz musician,straßenkids,dysfunctional family,independent film,teacher,urban,parenthood","3 nominations.",65,6.9,"5,964",6.6,4,11257,25,19,6,90,76,"Alfre Woodard,Delroy Lindo,David Patrick Kelly,Zelda Harris,Carlton Williams,Sharif Rashed,Tse-Mach Washington,Christopher Knowings,José Zúñiga,Isaiah Washington,Ivelka Reyes,Spike Lee,Manny Pérez,Richard Whiten,RuPaul,Keith Johnson","CROOKLYN"
"5","tt0058385",2.875,1,17000000,"Drama,Family,Music,Romance",0.555111,1964-10-21,72000000,170,"English",7.1,153,"George Cukor","","musical,transformation,flower girl,colonel,wager,suitor,class differences,tutor,aristocrat,linguist,street,high society,misogynist,guttersnipe,class prejudice,opposites attract","Won 8 Oscars. Another 15 wins & 13 nominations.",NA,7.9,"66,454",8.1,3.7,186485,46,44,2,90,96,"Audrey Hepburn,Rex Harrison,Stanley Holloway,Wilfrid Hyde-White,Gladys Cooper,Jeremy Brett,Theodore Bikel,Mona Washbourne,Isobel Elsom,John Holland","MY FAIR LADY"
"6","tt2182187",3,1,0,"",0.009624,2012-10-17,0,96,"English",0,0,"Morgan White","Morgan White","","N/A",NA,7.3,"27",NA,NA,15,NA,NA,NA,NA,NA,"Colin Brunton,Nigel Agnew,Keith Altomare,Atom Egoyan,Colin Geddes,Bruce Goldstein,Sedwick Hill,Dan Halsted,Dennis Jackson","THE REP"
"7","tt1517069",3.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","tt4643580",3.33333333333333,3,0,"Animation",0.184416,2015-09-04,0,99,"Español",6.1,17,"Gabriel Riva Palacio Alatriste","","chicken,egg","1 nomination.",NA,6,"588",5.8,4.1,2003,15,10,5,81,63,"Bruno Bichir,Carlos Espejel,Angélica Vale,Facundo Gómez,Claudio Herrera","UN GALLO CON MUCHO HUEVOS"
"9","tt1976000",4,2,0,"Thriller",0.625013,2014-05-16,4507463,96,"Türkçe,ελληνικά,English",5.4,153,"Hossein Amini","","sailboat,hotel,american,couple,private detective","3 nominations.",66,6.2,"21,886",6.8,3.2,14027,107,88,19,48,82,"Viggo Mortensen,Kirsten Dunst,Oscar Isaac,Prometheus Aleifer,Nikos Mavrakis,Yiğit Özşener,Daisy Bevan,David Warshofsky,James Sobol Kelly,Karayianni Margaux,Socrates Alafouzos,Ozan Tas,Omiros Poulakis,Özcan Özdemir,Evgenia Dimitropoulou,Pablo Verdejo,Kosta Kortidis,Peter Mair,Okan Avci,Mehmet Esen,Ioannis Vordos,Brian Niblett,Angelis Nannos","2 FACES OF JANUARY"
"10","tt4935334",4.25,2,0,"Fantasy,Thriller,Horror,Science Fiction",0.338101,2016-02-05,0,89,"English",6.1,40,"Roxanne Benjamin,David Bruckner,Patrick Horvath,Chad Villella,Matt Bettinelli-Olpin,Tyler Gillett,Justin Martinez,Radio Silence","Susan Burke,David Bruckner,Matt Bettinelli-Olpin,Roxanne Benjamin,Dallas Richard Hallam,Patrick Horvath","anthology,woman director,horror anthology","N/A",58,6,"5,130",NA,NA,NA,NA,NA,NA,NA,NA,"Kate Beahan,Matt Bettinelli-Olpin,Susan Burke,Zoe Cooper,Gerald Downey,Karla Droege,Larry Fessenden,Dana Gould,Hassie Harrison,Davey Johnson,Nathalie Love,Hannah Marks,Tipper Newton,Maria Olsen,Kristina Pesic,Anessa Ramsey,Mark Rossignol,Fabianne Therese,Tyler Tuione,Chad Villella,Mather Zickel,Justin Wellborn,David Yow,Tallulah Mounce,Courtney Bandeko,Matt Peters","SOUTHBOUND"
