imdb_id,name,total_gross,total_num_of_shows,avg_ticket_price,tota_num_of_attendees
tt2326554,A GIRL WALKS HOME ALONE AT NIGHT,20443,52,8.0,49.125
tt3170832,ROOM (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/478?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)--MUST END TONIGHT!!,16479,52,8.0,39.5
tt3850214,DOPE - MUST END TONIGHT!,24171,52,8.0,58.0
tt2024544,12 YEARS A SLAVE,20450,51,8.04166666666667,49.7409326424871
tt1392190,MAD MAX: FURY ROAD,24026,50,8.0,60.0
tt3659388,THE MARTIAN--MUST END TONIGHT!!,21217,48,8.0,55.25
tt1706620,SNOWPIERCER (MUST END TONIGHT!!),19358,44,8.0,54.875
tt1065073,BOYHOOD--MUST END TONIGHT!!,17024,43,8.0,49.375
tt3416742,WHAT WE DO IN THE SHADOWS - MUST END TONIGHT!,17240,42,7.975,51.41065830721
tt0470752,EX MACHINA,15813,39,7.92307692307692,51.1165048543689
tt2015381,GUARDIANS OF THE GALAXY,13523,39,8.0,43.25
tt2340650,"EAST SIDE SUSHI, featuring a post-film Q&A with director Anthony Lucero - MUST END TONIGHT! (<a target=”_blank” href=http://brownpapertickets.com/event/2480590>Purchase Tickets Online</a>)",12494,39,8.05405405405405,39.7315436241611
tt0454876,LIFE OF PI,9214,38,6.0,40.3333333333333
tt2910274,OBVIOUS CHILD,11452,37,8.0,38.625
tt3152624,TRAINWRECK,12887,36,8.0,44.625
tt2464812,LICKS,18753,35,8.17647058823529,65.431654676259
tt3079380,SPY,13666,35,8.0,48.75
tt2872718,NIGHTCRAWLER,14665,34,8.0,53.875
tt2870648,AMY - MUST END TONIGHT!,15604,33,8.0,59.0
tt0094517,MYSTERY SCIENCE THEATER 3000 (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/332?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>),18036,32,8.0,70.375
tt2096673,INSIDE OUT,8895,32,8.0,34.625
tt2278871,BLUE IS THE WARMEST COLOR,10973,32,8.0,42.75
tt2053463,SIDE EFFECTS,6206,31,6.0,33.3333333333333
tt0790636,DALLAS BUYERS CLUB,12967,30,8.07142857142857,53.5221238938053
tt1935156,JODOROWSKY'S DUNE (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/2444508>Purchase Tickets Online</a>),9951,30,8.0,41.375
tt2278388,THE GRAND BUDAPEST HOTEL,11919,30,8.0,49.625
