CSV file / Delimited text,num_of_attendees,name,date,gross,num_of_shows,imdb_id,ticket_price
212,14,AGAINST THE GRAIN,Sun Dec 22 00:00:00 GMT-0800 2013,14,1,tt2073516,1
422,17,TRUTH - MUST END TONIGHT!,Wed Dec 23 00:00:00 GMT-0800 2015,52,1,tt3859076,3
728,82,RUSH,Sun Dec 22 00:00:00 GMT-0800 2013,82,1,tt1979320,1
1327,128,THE WIZARD OF OZ,Sun Dec 22 00:00:00 GMT-0800 2013,128,1,tt0032138,1
1384,132,SANTA CLAUS CONQUERS THE MARTIANS (Thrillville) (<a target=”_blank” href=http://brownpapertickets.com/event/527738>Purchase Tickets Online</a>),Sun Dec 22 00:00:00 GMT-0800 2013,132,1,tt0058548,1
1666,51,SUFFRAGETTE - MUST END TONIGHT!,Wed Dec 23 00:00:00 GMT-0800 2015,154,1,tt3077214,3
1916,174,ENDER'S GAME,Sun Dec 22 00:00:00 GMT-0800 2013,174,1,tt1731141,1
1941,176,FARGO (Party at the Parkway) (<a target=”_blank” href=http://brownpapertickets.com/event/538736>Purchase Tickets Online</a>),Sun Dec 22 00:00:00 GMT-0800 2013,176,1,tt0116282,1
2244,200,BLUE IS THE WARMEST COLOR,Sun Dec 22 00:00:00 GMT-0800 2013,200,1,tt2278871,1
2365,70,ELF--MUST END TODAY!!,Wed Dec 23 00:00:00 GMT-0800 2015,210,1,tt0319343,3
2589,226,DON JON,Sun Dec 22 00:00:00 GMT-0800 2013,226,1,tt2229499,1
2639,230,12 YEARS A SLAVE,Sun Dec 22 00:00:00 GMT-0800 2013,230,1,tt2024544,1
2799,80,TRUTH,Tue Dec 22 00:00:00 GMT-0800 2015,240,1,tt3859076,3
3490,51,THE MARTIAN,Wed Dec 23 00:00:00 GMT-0800 2015,306,2,tt3659388,3
3739,113,THE PEANUTS MOVIE,Wed Dec 23 00:00:00 GMT-0800 2015,338,1,tt2452042,3
4169,134,THE PRINCESS BRIDE--MUST END TONIGHT!!,Wed Dec 23 00:00:00 GMT-0800 2015,402,1,tt0093779,3
4735,176,SPECTRE,Wed Dec 23 00:00:00 GMT-0800 2015,528,1,tt2379713,3
5410,323,THE PEANUTS MOVIE,Tue Dec 22 00:00:00 GMT-0800 2015,968,1,tt2452042,3
5431,352,ELF,Tue Dec 22 00:00:00 GMT-0800 2015,1056,1,tt0319343,3
5465,402,THE MARTIAN,Tue Dec 22 00:00:00 GMT-0800 2015,1206,1,tt3659388,3
5491,247,SPECTRE,Tue Dec 22 00:00:00 GMT-0800 2015,1480,2,tt2379713,3
5499,287,THE PRINCESS BRIDE,Tue Dec 22 00:00:00 GMT-0800 2015,1720,2,tt0093779,3
